Epoch [1/30] 训练损失: 1.8298, 测试准确率: 41.31%
Epoch [2/30] 训练损失: 1.4667, 测试准确率: 54.18%
Epoch [3/30] 训练损失: 1.2995, 测试准确率: 56.31%
Epoch [4/30] 训练损失: 1.1653, 测试准确率: 61.93%
Epoch [5/30] 训练损失: 1.0683, 测试准确率: 65.58%
Epoch [6/30] 训练损失: 0.9984, 测试准确率: 65.92%
Epoch [7/30] 训练损失: 0.9370, 测试准确率: 69.33%
Epoch [8/30] 训练损失: 0.8859, 测试准确率: 70.15%
Epoch [9/30] 训练损失: 0.8430, 测试准确率: 73.74%
Epoch [10/30] 训练损失: 0.8115, 测试准确率: 72.49%
Epoch [11/30] 训练损失: 0.7782, 测试准确率: 74.04%
Epoch [12/30] 训练损失: 0.7544, 测试准确率: 76.09%
Epoch [13/30] 训练损失: 0.7320, 测试准确率: 74.62%
Epoch [14/30] 训练损失: 0.7204, 测试准确率: 76.02%
Epoch [15/30] 训练损失: 0.6985, 测试准确率: 78.58%
Epoch [16/30] 训练损失: 0.6803, 测试准确率: 76.72%
Epoch [17/30] 训练损失: 0.6700, 测试准确率: 78.51%
Epoch [18/30] 训练损失: 0.6626, 测试准确率: 77.22%
Epoch [19/30] 训练损失: 0.6482, 测试准确率: 78.23%
Epoch [20/30] 训练损失: 0.6396, 测试准确率: 78.73%
Epoch [21/30] 训练损失: 0.6309, 测试准确率: 79.87%
Epoch [22/30] 训练损失: 0.6230, 测试准确率: 79.08%
Epoch [23/30] 训练损失: 0.6090, 测试准确率: 78.13%
Epoch [24/30] 训练损失: 0.6010, 测试准确率: 79.58%
Epoch [25/30] 训练损失: 0.5956, 测试准确率: 79.72%
Epoch [26/30] 训练损失: 0.5847, 测试准确率: 79.94%
Epoch [27/30] 训练损失: 0.5810, 测试准确率: 80.71%
Epoch [28/30] 训练损失: 0.5814, 测试准确率: 79.57%
Epoch [29/30] 训练损失: 0.5728, 测试准确率: 79.72%
Epoch [30/30] 训练损失: 0.5638, 测试准确率: 80.55%
